drug,brand_name,fda_indication_pediatric,adult_fda_approval_indication_specific,adult_hc_approval,pediatric_fda_approval,pediatric_hc_approval,pediatric_hc_submission,pediatric_cadth_submission,pediatric_cadth_recommendation,pediatric_pcpa_consideration,pediatric_pcpa_negotiation_completed,pediatric_hc_status,hc_pediatric_reason,pediatric_cadth_status,pediatric_pcpa_status,pediatric_cco_listing,pediatric_cco_program,noc_status
Arsenic trioxide,Trisenox,"Induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression",2000-09-25,2013-06-07,2000-09-25,,,2013-08-30,2014-02-18,,,not approved,not indicated,positive,not reviewed,Yes,New Drug Funding Program,
Crisantaspase-recombinant,"Rylaze, Crisantaspase",As a component of multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase,2021-06-30,2022-09-02,2021-06-30,2022-09-02,2021-09-27,2022-08-18,2023-04-26,2023-06-02,2023-07-04,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC
Asparaginase erwinia chrysanthemi,Erwinaze,As a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to E. coli-derived asparaginase,2011-11-18,1998-04-15,2011-11-18,1998-04-15,,,,,,approved,indicated,not reviewed,not reviewed,Yes,New Drug Funding Program,NOC
Atezolizumab,Tecentriq,Unresectable or metastatic alveolar soft part sarcoma (ASPS),2022-12-09,,2022-12-09,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Avelumab,Bavencio,Metastatic Merkel cell carcinoma (MCC),2017-03-23,2017-12-08,2017-03-23,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Azacitidine,"Vidaza, Onureg",Newly diagnosed juvenile myelomonocytic leukemia (JMML),,,2022-05-20,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Blinatumomab,Blincyto,Ph- relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),2014-12-03,2015-12-22,2016-08-30,2017-04-28,2016-08-15,2017-02-24,2017-08-23,2017-12-29,2019-01-15,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC/c
Blinatumomab,Blincyto,CD19-positive B-cell precursor acute lymphoblastic leukemia (ALL) in first or second complete remission with minimal residual disease,2018-03-29,2019-12-19,2018-03-29,2019-12-19,2017-10-30,2020-01-20,2020-10-29,2020-12-17,2021-05-21,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC/c
Brentuximab vedotin,Adcetris,"Pediatric patients (2 years and older) with previously untreated high-risk cHL, in combination with doxorubicin, vincristine, etoposide, prednisone, and cyclophosphamide",2018-03-20,2019-05-02,2022-11-10,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Busulfan,Busulfex,"Conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia, for use in combination with cyclophosphamide",1999-02-04,1999-07-22,2003-01-13,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Cabozantinib,Cabometyx,Locally advanced or metastatic differentiated thyroid cancer (DTC) ,2021-09-17,2022-04-28,2021-09-17,,,2022-04-27,2022-11-02,,,not approved,not indicated,restricted positive,not reviewed,No,,
Calaspargase pegol-mknl,Asparlas,Acute lymphoblastic leukemia (ALL),,,2018-12-20,,,2023-05-12,,,,under review,under review,under review,not reviewed,No,,
Clofarabine,Clolar,Relapsed or refractory acute lymphoblastic leukemia (ALL),,,2004-12-28,2009-07-16,2008-05-08,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC
Crizotinib,Xalkori,"Relapsed or refractory, systemic, ALK-positive anaplastic large cell lymphoma (ALCL)",2021-01-14,,2021-01-14,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Crizotinib,Xalkori,"Unresectable, recurrent or refractory ALK-positive inflammatory myofibroblastic tumours (IMT)",2022-07-14,,2022-07-14,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Dabrafenib+trametinib,Tafinlar+Mekinist,Low-grade glioma (LGG) with a BRAF V600E mutation,,,2023-03-16,2023-07-24,,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC
Dabrafenib+trametinib,Tafinlar+Mekinist,Unresectable or metastatic solid tumors with BRAF V600E mutation,2014-01-08,2015-03-06,2022-06-22,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Dasatinib,Sprycel,Ph+ CML in chronic phase,2006-06-28,2007-03-26,2017-11-09,,,,,,,not approved,not indicated,not reviewed,not reviewed,Yes,Exceptional Access Program,
Dasatinib,Sprycel,"Newly diagnosed Ph+ ALL, in combination with chemotherapy",,,2018-12-21,,,,,,,not approved,not indicated,not reviewed,not reviewed,Yes,Exceptional Access Program,
Daunorubicin+cytarabine liposome,Vyxeos,Newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC),2017-08-03,2021-04-29,2021-03-30,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Denosumab,"Xgeva, Prolia",Giant cell tumor of the bone,2013-06-13,2013-12-12,2013-06-13,2013-12-12,,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC
Dinutuximab,Unituxin,High-risk neuroblastoma,,,2015-03-10,2018-11-28,2017-12-14,2018-10-01,2019-03-26,2019-05-08,2019-08-30,approved,indicated,restricted positive,LOI,Yes,High Cost Therapy Program,NOC
Emapalumab,Gamifant,Relapsed or refractory primary hemophagocytic lymphohistiocytosis (HLH),2018-11-20,,2018-11-20,,,,,,,not approved,cancelled,not reviewed,not reviewed,No,,
Entrectinib,Rozlytrek,Solid tumors with NTRK gene fusion,2019-08-15,2020-02-10,2019-08-15,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Everolimus,Afinitor,Subependymal giant cell astrocytoma (SEGA),2010-10-29,2011-06-30,2010-10-29,2011-06-30,,2014-03-19,2015-04-15,,2015-06-30,approved,indicated,negative,not pursued,Yes,Exceptional Access Program,NOC/c
Everolimus (oral suspension),Afinitor Disperz,Subependymal giant cell astrocytoma (SEGA),2012-08-29,2014-05-30,2012-08-29,2014-05-30,,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC/c
Gemtuzumab ozogamicin,Mylotarg,Relapsed or refractory CD33+ acute myeloid leukemia,2000-05-17,,2017-09-01,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Gemtuzumab ozogamicin,Mylotarg,Newly-diagnosed CD33-positive acute myeloid leukemia (AML) to include pediatric patients 1 month and older,2017-09-01,2019-11-28,2020-06-16,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Imatinib mesylate,Gleevec,Ph+ chronic phase CML whose disease has recurred after stem cell transplant or who are resistant to interferon alpha therapy,2001-05-10,2001-09-20,2003-05-20,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,Yes,Ontario General Benefit,
Imatinib mesylate,Gleevec,"Newly diagnosed Ph+  ALL, in combination with chemotherapy",,2007-03-08,2013-01-25,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,Yes,Ontario General Benefit,
Imatinib mesylate,Gleevec,Newly diagnosed Ph+ CML  in chronic phase,2002-12-20,2003-10-08,2006-09-27,2007-05-24,,,,,,approved,indicated,not reviewed,not reviewed,Yes,Ontario General Benefit,NOC/c
Iobenguane I 131,"Azedra, IODINE-131 META IODOBENZYLGUANIDINE (I 131 MIBG)","Unresectable, locally advanced or metastatic pheochromocytoma or paraganglioma",2018-07-30,,2018-07-30,,,,,,,not approved,cancelled,not reviewed,not reviewed,No,,
Ipilimumab,Yervoy,Unresectable or metastatic melanoma,2011-03-25,2012-02-01,2017-07-21,,,2011-12-01,2012-04-18,,,not approved,not indicated,not reviewed,not reviewed,No,,
Larotrectinib,Vitrakvi,Solid tumors with NTRK gene fusion,2018-11-26,2019-07-10,2018-11-26,2019-07-10,2018-09-18,2020-11-16,2021-09-13,2022-03-31,2022-11-07,approved,indicated,restricted positive,LOI,Yes,Exceptional Access Program,NOC/c
Mercaptopurine oral solution,Purixan,Acute lymphoblastic leukemia (ALL),2014-04-28,,2014-04-28,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Naxitamab,Danyelza,Relapsed or refractory osteomedullary high-risk neuroblastoma,2020-11-25,,2020-11-25,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Nelarabine,"Arranon, Atriance",Relapsed or refractory T-cell acute lymphoblastic leukemia (T-ALL) or T-cell lymphoblastic lymphoma (T-LBL),2005-10-28,2007-09-22,2005-10-28,2007-09-22,2005-09-28,2023-03-06,,,,approved,indicated,under review,not reviewed,No,,NOC/c
Nilotinib,Tasigna,Newly diagnosed or resistant Ph+ chronic myeloid leukemia in chronic phase (Ph+ CML-CP),2007-10-29,2010-07-22,2018-03-22,2018-10-16,,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC
Nilotinib,Tasigna,Resistant Ph+ CML-AP,2007-10-29,2008-09-09,2021-09-23,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Nivolumab,Opdivo,MSI-H or dMMR metastatic colorectal cancer,2017-07-31,,2017-07-31,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab,Opdivo,Unresectable or metastatic melanoma as a single agent or in combination with ipilimumab and melanoma with lymph node involvement or metastatic disease following complete resection,2014-12-22,2015-09-25,2023-02-15,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+ipilimumab,Opdivo+Yervoy,MSI-H or dMMR metastatic colorectal cancer,2018-07-10,2021-02-11,2018-07-10,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+ipilimumab,Opdivo+Yervoy,Unresectable or metastatic melanoma,2015-09-30,2016-10-26,2023-02-15,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Nivolumab+relatlimab-rmbw,Opdualag,Unresectable or metastatic melanoma,2022-03-18,,2022-03-18,,,2023-07-10,,,,under review,under review,under review,not reviewed,No,,
Pegaspargase,Oncaspar,Acute lymphoblastic leukemia (ALL),1994-02-01,1997-11-19,2006-07-24,1997-11-19,,,,,,approved,indicated,not reviewed,not reviewed,Yes,New Drug Funding Program,NOC
Pembrolizumab,Keytruda,Relapsed or refractory classic Hodgkin Lymphoma,2017-03-14,2017-09-08,2017-03-14,2021-02-05,2020-05-15,2021-01-29,2021-11-01,2021-11-18,2021-11-18,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC/c
Pembrolizumab,Keytruda,"Unresectable or metastatic, microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) solid tumors",2017-05-23,2019-04-18,2017-05-23,,2018-07-31,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,Adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma,2018-06-13,2018-09-21,2018-06-13,2018-09-21,2018-01-02,,,,,approved,indicated,not reviewed,not reviewed,No,,NOC/c
Pembrolizumab,Keytruda,Recurrent locally advanced or metastatic Merkel cell carcinoma,2018-12-19,,2018-12-19,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,Unresectable or metastatic tumor mutational burden-high (TMB H) [?10 mutations/megabase (mut/Mb)] solid tumors,2020-06-16,,2020-06-16,,,,,,,not approved,not indicated for specific fda indication,not reviewed,not reviewed,No,,
Pembrolizumab,Keytruda,"Stage IIB, IIC, or III melanoma",2021-12-03,2022-07-05,2021-12-03,2022-07-05,2021-12-17,2022-04-26,2022-11-04,2023-03-08,2023-03-08,approved,indicated,restricted positive,LOI,Yes,New Drug Funding Program,NOC
Pralsetinib,Gavreto,Advanced or metastatic RET-mutant medullary thyroid cancer (MTC) or RET-fusion positive thyroid cancer,2020-12-01,,2020-12-01,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Rituximab,Rituxan,"Previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL)",2006-02-10,2005-12-20,2021-12-02,,,,,,,not approved,not indicated,not reviewed,not reviewed,Yes,New Drug Funding Program,
Selpercatinib,Retevmo,Advanced or metastatic RET-mutant medullary thyroid cancer (MTC) or advanced or metastatic RET fusion-positive thyroid cancer,2020-05-08,2021-06-15,2020-05-08,2021-06-15,2020-09-10,2021-10-29,2022-09-26,2022-11-17,2023-03-31,approved,indicated,restricted positive,LOI,No,,NOC/c
Selumetinib,Koselugo,"Symptomatic, inoperable plexifirm neurofibromas (PN) in patients with neurofibromatosis type 1 (NF1)",,,2020-04-10,2022-08-31,2020-09-09,2022-10-28,2023-05-10,,,approved,indicated,restricted positive,negotiations ongoing,No,,NOC
Tagraxofusp-erzs,Elzonris,Blastic plasmacytoid dendritic cell neoplasm (BPDCN),2018-12-21,,2018-12-21,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Tazemetostat,Tazverik,Metastatic or advanced epithelioid sarcoma,2020-01-23,,2020-01-23,,,,,,,not approved,not found,not reviewed,not reviewed,No,,
Teniposide,Vumon,Refractory childhood acute lymphoblastic leukemia (ALL),,2004-10-28,2002-10-01,,,,,,,not approved,not indicated,not reviewed,not reviewed,No,,
Tisagenlecleucel,Kymriah,Relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),2017-08-30,2018-09-05,2017-08-30,2018-09-05,2018-02-09,,2019-01-15,,,approved,indicated,restricted positive,not reviewed,Yes,(CAR) T-cell Therapy Program,NOC
